"No.","Time","Source","Destination","Protocol","Length","Info"
"60","4.710993801","10.0.2.6","142.250.183.206","TCP","54","52518  >  443 [ACK] Seq=6800 Ack=2880 Win=62780 Len=0"
"61","4.711941569","142.250.183.206","10.0.2.6","TLSv1.2","820","Application Data, Application Data"
"62","4.711959440","10.0.2.6","142.250.183.206","TCP","54","52518  >  443 [ACK] Seq=6800 Ack=3646 Win=62780 Len=0"
"63","4.713242997","142.250.183.206","10.0.2.6","TLSv1.2","242","Application Data"
"64","4.713270913","10.0.2.6","142.250.183.206","TCP","54","52518  >  443 [ACK] Seq=6800 Ack=3834 Win=62780 Len=0"
"65","4.715121721","142.250.183.206","10.0.2.6","TLSv1.2","117","Application Data"
"66","4.715533998","10.0.2.6","142.250.183.206","TCP","54","52518  >  443 [ACK] Seq=6800 Ack=3897 Win=62780 Len=0"
"67","5.119671553","10.0.2.6","13.227.166.120","TCP","54","60556  >  443 [ACK] Seq=1 Ack=1 Win=63360 Len=0"
"68","5.119972813","13.227.166.120","10.0.2.6","TCP","60","[TCP ACKed unseen segment] 443  >  60556 [ACK] Seq=1 Ack=2 Win=31741 Len=0"
"69","5.380434000","10.0.2.6","172.217.167.163","TCP","54","41316  >  80 [ACK] Seq=1 Ack=1 Win=63791 Len=0"
"70","5.381091884","172.217.167.163","10.0.2.6","TCP","60","[TCP ACKed unseen segment] 80  >  41316 [ACK] Seq=1 Ack=2 Win=32395 Len=0"
"71","5.631446964","10.0.2.6","117.18.237.29","TCP","54","48474  >  80 [ACK] Seq=1 Ack=1 Win=63840 Len=0"
"72","5.631928341","117.18.237.29","10.0.2.6","TCP","60","[TCP ACKed unseen segment] 80  >  48474 [ACK] Seq=1 Ack=2 Win=32397 Len=0"
"73","5.891342251","10.0.2.6","117.18.237.29","TCP","54","48476  >  80 [ACK] Seq=1 Ack=1 Win=63920 Len=0"
"74","5.891673447","117.18.237.29","10.0.2.6","TCP","60","[TCP ACKed unseen segment] 80  >  48476 [ACK] Seq=1 Ack=2 Win=32397 Len=0"
"75","7.757124778","10.0.2.6","142.250.199.132","TLSv1.2","299","Application Data"
"76","7.941196351","142.250.199.132","10.0.2.6","TLSv1.2","5894","Application Data, Application Data, Application Data, Application Data"
"77","7.941218691","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=246 Ack=5841 Win=65535 Len=0"
"78","7.941441491","142.250.199.132","10.0.2.6","TLSv1.2","980","Application Data, Application Data, Application Data"
"79","7.941450101","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=246 Ack=6767 Win=65535 Len=0"
"80","7.958016023","142.250.199.132","10.0.2.6","TLSv1.2","5894","Application Data, Application Data, Application Data, Application Data"
"81","7.958035255","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=246 Ack=12607 Win=65535 Len=0"
"82","7.958157538","142.250.199.132","10.0.2.6","TLSv1.2","1364","Application Data"
"83","7.958162483","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=246 Ack=13917 Win=65535 Len=0"
"84","7.958877971","142.250.199.132","10.0.2.6","TLSv1.2","2974","Application Data, Application Data"
"85","7.958884824","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=246 Ack=16837 Win=65535 Len=0"
"86","7.958965470","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"87","7.958969144","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=246 Ack=18297 Win=65535 Len=0"
"88","7.959086541","142.250.199.132","10.0.2.6","TLSv1.2","75","Application Data"
"89","7.959096559","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=246 Ack=18318 Win=65535 Len=0"
"90","8.209379902","10.0.2.6","142.250.199.132","TLSv1.2","536","Application Data"
"91","8.209579386","10.0.2.6","142.250.199.132","TLSv1.2","89","Application Data"
"92","8.210252513","142.250.199.132","10.0.2.6","TCP","60","443  >  51338 [ACK] Seq=18318 Ack=763 Win=31967 Len=0"
"93","8.225745679","10.0.2.6","142.250.192.99","TLSv1.2","173","Application Data"
"94","8.225968555","10.0.2.6","142.250.192.99","TLSv1.2","89","Application Data"
"95","8.226343231","142.250.192.99","10.0.2.6","TCP","60","443  >  37164 [ACK] Seq=1 Ack=155 Win=32075 Len=0"
"96","8.439039113","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data"
"97","8.439086071","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=19778 Win=65535 Len=0"
"98","8.439410506","142.250.199.132","10.0.2.6","TLSv1.2","333","Application Data"
"99","8.439417025","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=20057 Win=65535 Len=0"
"100","8.450168432","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data"
"101","8.450194062","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=21517 Win=65535 Len=0"
"102","8.450482579","142.250.199.132","10.0.2.6","TLSv1.2","1485","Application Data, Application Data"
"103","8.450487839","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=22948 Win=65535 Len=0"
"104","8.459681479","142.250.199.132","10.0.2.6","TLSv1.2","1484","Application Data"
"105","8.459716882","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=24378 Win=65535 Len=0"
"106","8.459681752","142.250.199.132","10.0.2.6","TLSv1.2","4434","Application Data, Application Data, Application Data"
"107","8.459801918","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=28758 Win=65535 Len=0"
"108","8.460076464","142.250.199.132","10.0.2.6","TLSv1.2","686","Application Data"
"109","8.460089334","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=29390 Win=65535 Len=0"
"110","8.465068433","10.0.2.6","142.250.183.131","TLSv1.2","161","Application Data"
"111","8.471657829","142.250.199.132","10.0.2.6","TLSv1.2","2974","Application Data, Application Data"
"112","8.471682236","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=32310 Win=65535 Len=0"
"113","8.471928275","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"114","8.471943450","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=33770 Win=65535 Len=0"
"115","8.471928439","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"116","8.471969938","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=35230 Win=65535 Len=0"
"117","8.472066895","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"118","8.472073635","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=36690 Win=65535 Len=0"
"119","8.472067043","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"120","8.472099652","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=38150 Win=65535 Len=0"
"121","8.472291308","142.250.199.132","10.0.2.6","TLSv1.2","1304","Application Data [TCP segment of a reassembled PDU]"
"122","8.472299724","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=39400 Win=65535 Len=0"
"123","8.473340591","142.250.199.132","10.0.2.6","TLSv1.2","342","Application Data"
"124","8.473346790","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=39688 Win=65535 Len=0"
"125","8.475302919","142.250.183.131","10.0.2.6","TLSv1.2","4434","Application Data, Application Data, Application Data"
"126","8.475313578","10.0.2.6","142.250.183.131","TCP","54","37172  >  443 [ACK] Seq=108 Ack=4381 Win=65535 Len=0"
"127","8.475522622","142.250.183.131","10.0.2.6","TLSv1.2","632","Application Data, Application Data, Application Data"
"128","8.475529933","10.0.2.6","142.250.183.131","TCP","54","37172  >  443 [ACK] Seq=108 Ack=4959 Win=65535 Len=0"
"129","8.475668859","10.0.2.6","142.250.183.131","TLSv1.2","93","Application Data"
"130","8.485127510","142.250.199.132","10.0.2.6","TLSv1.2","2974","Application Data, Application Data"
"131","8.485149866","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=42608 Win=65535 Len=0"
"132","8.485432943","142.250.199.132","10.0.2.6","TLSv1.2","1424","Application Data"
"133","8.485458263","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=43978 Win=65535 Len=0"
"134","8.485719624","142.250.199.132","10.0.2.6","TLSv1.2","1484","Application Data"
"135","8.485725310","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=45408 Win=65535 Len=0"
"136","8.485949026","142.250.199.132","10.0.2.6","TLSv1.2","1484","Application Data"
"137","8.485954623","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=46838 Win=65535 Len=0"
"138","8.486270984","142.250.199.132","10.0.2.6","TLSv1.2","77","Application Data"
"139","8.486275878","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=46861 Win=65535 Len=0"
"140","8.489620098","142.250.199.132","10.0.2.6","TLSv1.2","1484","Application Data"
"141","8.489644745","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=48291 Win=65535 Len=0"
"142","8.489871637","142.250.199.132","10.0.2.6","TLSv1.2","1484","Application Data"
"143","8.489876838","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=49721 Win=65535 Len=0"
"144","8.490114213","142.250.199.132","10.0.2.6","TLSv1.2","667","Application Data"
"145","8.490118520","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=50334 Win=65535 Len=0"
"146","8.498925508","142.250.199.132","10.0.2.6","TLSv1.2","2974","Application Data, Application Data"
"147","8.498945343","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=53254 Win=65535 Len=0"
"148","8.499150163","142.250.199.132","10.0.2.6","TLSv1.2","1424","Application Data"
"149","8.499156279","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=54624 Win=65535 Len=0"
"150","8.499150209","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data"
"151","8.499163699","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=56084 Win=65535 Len=0"
"152","8.499445345","142.250.199.132","10.0.2.6","TLSv1.2","611","Application Data"
"153","8.499451703","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=56641 Win=65535 Len=0"
"154","8.509620761","142.250.183.131","10.0.2.6","TCP","60","443  >  37172 [ACK] Seq=4959 Ack=147 Win=32203 Len=0"
"155","8.557416846","142.250.199.132","10.0.2.6","TLSv1.2","1470","Application Data"
"156","8.557432688","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=763 Ack=58057 Win=65535 Len=0"
"157","8.563524620","10.0.2.6","192.168.29.1","DNS","73","Standard query 0xf69c A id.google.com"
"158","8.563568280","10.0.2.6","192.168.29.1","DNS","73","Standard query 0x5699 AAAA id.google.com"
"159","8.577236154","10.0.2.6","142.250.199.132","TLSv1.2","322","Application Data"
"160","8.577355260","10.0.2.6","142.250.199.132","TLSv1.2","85","Application Data"
"161","8.577670213","142.250.199.132","10.0.2.6","TCP","60","443  >  51338 [ACK] Seq=58057 Ack=1062 Win=31668 Len=0"
"162","8.579592996","192.168.29.1","10.0.2.6","DNS","101","Standard query response 0x5699 AAAA id.google.com AAAA 2404:6800:4009:80d::2003"
"163","8.580152744","192.168.29.1","10.0.2.6","DNS","89","Standard query response 0xf69c A id.google.com A 172.217.174.67"
"164","8.581180680","10.0.2.6","172.217.174.67","TCP","74","46304  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2885442288 TSecr=0 WS=128"
"165","8.581971356","142.250.199.132","10.0.2.6","TLSv1.2","4434","Application Data, Application Data, Application Data"
"166","8.581983145","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=62437 Win=65535 Len=0"
"167","8.581971406","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"168","8.583033176","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"169","8.583044491","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=65357 Win=65535 Len=0"
"170","8.583033225","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"171","8.583781823","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"172","8.583798986","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=68277 Win=65535 Len=0"
"173","8.583781877","142.250.199.132","10.0.2.6","TLSv1.2","2974","Application Data, Application Data"
"174","8.583814522","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=71197 Win=65535 Len=0"
"175","8.583921096","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"176","8.584267952","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"177","8.584281151","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=74117 Win=65535 Len=0"
"178","8.584503609","142.250.199.132","10.0.2.6","TLSv1.2","645","Application Data"
"179","8.592734630","172.217.174.67","10.0.2.6","TCP","60","443  >  46304 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
"180","8.592762048","10.0.2.6","172.217.174.67","TCP","54","46304  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"181","8.594202167","10.0.2.6","172.217.174.67","TLSv1.3","571","Client Hello"
"182","8.607351111","142.250.199.132","10.0.2.6","TLSv1.2","5894","Application Data, Application Data, Application Data, Application Data"
"183","8.607368834","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=80548 Win=65535 Len=0"
"184","8.607654376","142.250.199.132","10.0.2.6","TLSv1.2","1364","Application Data"
"185","8.608168256","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data"
"186","8.608173192","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=83318 Win=65535 Len=0"
"187","8.608422948","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"188","8.608423015","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"189","8.608429910","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=86238 Win=65535 Len=0"
"190","8.608630632","142.250.199.132","10.0.2.6","TLSv1.2","1394","Application Data"
"191","8.609987098","142.250.199.132","10.0.2.6","TLSv1.2","2974","Application Data, Application Data"
"192","8.609992065","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=90498 Win=65535 Len=0"
"193","8.610274827","142.250.199.132","10.0.2.6","TLSv1.2","921","Application Data"
"194","8.614557215","142.250.199.132","10.0.2.6","TLSv1.2","2974","Application Data, Application Data"
"195","8.614580202","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=94285 Win=65535 Len=0"
"196","8.614557266","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"197","8.649108420","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"198","8.649123502","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=97205 Win=65535 Len=0"
"199","8.649108468","142.250.199.132","10.0.2.6","TLSv1.2","2974","Application Data, Application Data"
"200","8.649149714","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=100125 Win=65535 Len=0"
"201","8.649494776","142.250.199.132","10.0.2.6","TLSv1.2","153","Application Data"
"202","8.649714523","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data"
"203","8.649720178","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=101684 Win=65535 Len=0"
"204","8.649969347","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"205","8.649969395","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"206","8.649979557","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=104604 Win=65535 Len=0"
"207","8.650326357","142.250.199.132","10.0.2.6","TLSv1.2","1394","Application Data"
"208","8.650906122","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data"
"209","8.650911023","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=107404 Win=65535 Len=0"
"210","8.651125326","142.250.199.132","10.0.2.6","TLSv1.2","1454","Application Data"
"211","8.651386355","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data"
"212","8.651391768","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=110264 Win=65535 Len=0"
"213","8.651626144","142.250.199.132","10.0.2.6","TLSv1.2","1454","Application Data"
"214","8.652676457","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data"
"215","8.652681632","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=113124 Win=65535 Len=0"
"216","8.652715659","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"217","8.652715716","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"218","8.652719509","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=116044 Win=65535 Len=0"
"219","8.652896508","142.250.199.132","10.0.2.6","TLSv1.2","1394","Application Data"
"220","8.653839656","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data"
"221","8.653846177","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=118844 Win=65535 Len=0"
"222","8.653978685","142.250.199.132","10.0.2.6","TLSv1.2","1454","Application Data"
"223","8.654039750","142.250.199.132","10.0.2.6","TLSv1.2","1514","Application Data"
"224","8.654043671","10.0.2.6","142.250.199.132","TCP","54","51338  >  443 [ACK] Seq=1062 Ack=121704 Win=65535 Len=0"
"225","8.654244595","142.250.199.132","10.0.2.6","TLSv1.2","1454","Application Data"
"226","8.671449121","172.217.174.67","10.0.2.6","TLSv1.3","1484","Server Hello, Change Cipher Spec"
"227","8.671470080","10.0.2.6","172.217.174.67","TCP","54","46304  >  443 [ACK] Seq=518 Ack=1431 Win=62920 Len=0"
"228","8.675759380","172.217.174.67","10.0.2.6","TCP","1484","443  >  46304 [PSH, ACK] Seq=1431 Ack=518 Win=32251 Len=1430 [TCP segment of a reassembled PDU]"
"229","8.675779669","10.0.2.6","172.217.174.67","TCP","54","46304  >  443 [ACK] Seq=518 Ack=2861 Win=62920 Len=0"
"230","8.675850860","172.217.174.67","10.0.2.6","TCP","2974","443  >  46304 [ACK] Seq=2861 Ack=518 Win=32251 Len=2920 [TCP segment of a reassembled PDU]"
"231","8.675867938","10.0.2.6","172.217.174.67","TCP","54","46304  >  443 [ACK] Seq=518 Ack=5781 Win=61320 Len=0"
"232","8.676171386","172.217.174.67","10.0.2.6","TLSv1.3","944","Application Data"
"233","8.676175389","10.0.2.6","172.217.174.67","TCP","54","46304  >  443 [ACK] Seq=518 Ack=6671 Win=62780 Len=0"
"234","8.678278936","10.0.2.6","172.217.174.67","TLSv1.3","118","Change Cipher Spec, Application Data"
"235","8.678706864","10.0.2.6","172.217.174.67","TLSv1.3","224","Application Data"
"236","8.678722109","10.0.2.6","172.217.174.67","TLSv1.3","1207","Application Data"
"237","8.678913483","172.217.174.67","10.0.2.6","TCP","60","443  >  46304 [ACK] Seq=6671 Ack=752 Win=32017 Len=0"
"238","8.691821712","172.217.174.67","10.0.2.6","TLSv1.3","693","Application Data, Application Data, Application Data"
"239","8.691842741","10.0.2.6","172.217.174.67","TCP","54","46304  >  443 [ACK] Seq=1905 Ack=7310 Win=62780 Len=0"
"240","8.692049662","10.0.2.6","172.217.174.67","TLSv1.3","85","Application Data"
